datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,snow,windspeed,winddir,visibility,uvindex,sunrise,sunset,conditions,description,icon
2/21/2018,24.4,10.8,17.3,24.4,10.8,17.3,78.4,0.13,100,16.67,0,18.3,254.3,14.9,6,2/21/2018 6:41:43 AM,2/21/2018 5:38:05 PM,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain
2/22/2018,13.9,3.4,7.5,13.9,-0.8,4.5,71.4,0.64,100,37.5,0,30.8,49.3,15.4,2,2/22/2018 6:40:17 AM,2/22/2018 5:39:16 PM,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
2/23/2018,5,2.8,3.9,5,-1.5,0.7,87.9,0.328,100,25,0,23.7,55.4,14.6,1,2/23/2018 6:38:51 AM,2/23/2018 5:40:26 PM,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
2/24/2018,12.2,5.1,7.9,12.2,1.7,6.5,83.1,1.961,100,29.17,0,17.8,228,15.5,3,2/24/2018 6:37:23 AM,2/24/2018 5:41:36 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2/25/2018,6.7,5.6,6,6.2,0.8,3,90.1,16.019,100,58.33,0,30.7,274.4,14.6,1,2/25/2018 6:35:55 AM,2/25/2018 5:42:46 PM,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
2/26/2018,10.9,6.2,8,10.9,3.6,6.7,63.1,0.921,100,12.5,0,21.3,257.6,16,4,2/26/2018 6:34:26 AM,2/26/2018 5:43:55 PM,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain
2/27/2018,14.3,4.3,8.3,14.3,1.7,7.2,43.8,1.864,100,25,0,16.6,269.3,16,7,2/27/2018 6:32:56 AM,2/27/2018 5:45:04 PM,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain
2/28/2018,16.2,4.4,9.8,16.2,2.1,8.7,51.3,1.635,100,16.67,0,18,251.5,16,7,2/28/2018 6:31:25 AM,2/28/2018 5:46:13 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
3/1/2018,14.4,7.2,10.9,14.4,3,10.5,64.9,6.527,100,20.83,0,28.4,45.8,15.5,4,3/1/2018 6:29:53 AM,3/1/2018 5:47:21 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
3/2/2018,7.2,1.7,3.7,3.8,-1.4,0.7,89.5,52.025,100,95.83,0,21.3,33.1,12.2,1,3/2/2018 6:28:21 AM,3/2/2018 5:48:30 PM,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
